"Мы узнали, что один высокопоставленный чиновник часто посещает бордель.",Следите за ним `;R-5;`,У всех свои слабости `;N-0;`,"Милорд, мы узнали, что он воспользовался тремя женщинами одновременно... \n\nИ разочаровал всех трёх одинаково `;I+5;`","Воистину, милорд `;N-0;`"
Из крипты вашего дворца донёсся протяжный крик. Кому вы поручите исследование?,Гвардии `;G-10;`,Ментатам `;R-5;`,"Милорд, это был дух одного из ваших праотцев.\n\nРазгневанный присланными войсками, он начал их атаковать. Гвардейцы смогли упокоить его душу, но свои тайны он унёс с собой. `;K-5;`","Милорд, это был дух одного из ваших праотцев.\n\nМентаты смогли выведать у него несколько древних секретов, а затем упокоить его душу. `;K+5;`"
Талантливый художник неблагородного происхождения хочет нарисовать ваш портрет.\n\nВзамен он просит лишь краски и пропитание.,Пускай рисует `;R-5;`,Отказать `;I-5;`,Портрет получился живым и способным к диалогу. Общение с ним даёт вам познать тайны самого себя. `;K+5;`,"На следующее утро после вашего отказа, художника нашли мёртвым. `;I-5;`"
"Вы узнаёте, что верфях сейчас стоит почти достроенный корвет, но первоначальный его заказчик, приватир, не может его оплатить. Он предлагает вам покрыть оставшуюся стоимость, в обмен на долю от добычи.",Хорошая сделка. `;R-10;`,Приватир — эвфемизм пирата. `;I-10;`,"После нескольких удачных вылетов, вы получаете долю добытых сокровищ: оружия, драгоценностей и древних книг.\n\nВы предпочитаете не думать, откуда они появились.`;R+5;K+10;G+5;`","Вы проследили за тем, кто в итоге проспонсировал ""приватира"".\n\nНекоторые из привезённых сокровищ походили на то, что производят в мирах Новой Империи.\n\nНеплохой компромат `;I+20;`"
"Когда вы посещали библиотеку, на ваших глазах перед книгой умер ментат. Вы одни. На щеке ментата открылся немигающий глаз, который смотрит прямо на вас.",Забрать книгу и уйти. `;I-5;`,Содействовать следствию `;G-5;`,"Это оказался запрещённый труд, созданный самим Уриценом. Вы его прочли. Ваш разум смог устоять. Вы начинаете видеть сквозь углы. `;K+5;`","Книга, которую читал ментат, была запрещённым трудом Урицена. Благодаря вашему содействию, удалось найти и уничтожить подпольную библиотеку запрещённых книг. О вас говорят как о добропорядочном человеке.`;I+5;`"
"Имперский Генерал приближается к вам. Его рука напряжённо сжимает саблю в ножнах, а глаза говорят о глубоком беспокойстве. Полушёпотом, он обращается к вам:\n\n""Милорд, я хочу обратиться к вам с просьбой, которая для непосвящённого ума может показаться безумной.\n\nДля постижения тайн Смерти и Перерождения, мне нужно провести ритуал, требующий жертвоприношения ребёнка. Я не могу гарантировать его воскрешения. Но я могу гарантировать, что мой легион будет в вашем распоряжении до тех пор, пока мы разделяем тайну нашего деяния. Вы мне поможете?""",Я помогу. `;I-20;R-5;`,Убирайтесь отсюда. `;I+10;`,"Вы приказали похитить ребёнка низкого происхождения для проведения ритуала.\n\nБелое тельце с вырванным сердцем лежит на алтаре.\n\nПерерождение не удалось.\n\nОднако, тёмный секрет, который вы разделяете с генералом, обеспечивает лояльность одного из имперских элитных легионов `;G+30;K+10;`","Вы прогоняете генерала прочь.\n\nНамекнув нужным людям на его причастность к запретным искусствам, вы пошатнули авторитет этого генерала.\n\nВы не запятнали своё имя, но нажили себе влиятельного врага в имперской гвардии. `;G-20;`"
"Краем вашего взгляда, вы замечаете фигуру, следящую за вами из-за угла. Кто-то плетёт интриги против вас.",Перехватить шпиона `;G-10;`,Найдите заказчика. `;R-10;`,"Гвардейцы перехватили шпиона.\n\nПосле допроса выянилось, что на вас собирали досье для последующего шантажа. Однако, заказчик очень хорошо скрыл свою идентичность, и шпион не знает на кого работал. \n\nЧерез пару дней, вам пришла большая сумма денег, как компенсация за беспокойство и выкуп шпиона. Чтобы не нажить себе ещё больше врагов, вы принимаете эту сделку. `;R+15;`","Двигаясь по запутанной цепочке контактов, зашифрованных писем и подставных лиц, ваши шпионы наконец смогли отследить заказчика.  В письме вы ему тонко намекнули, насколько короткой и безрадостной окажется его последующая жизнь при попытке шантажа. \n\nСлежка прекратилась. Вы в безопасности. Пока что.  `;I+15;`"
"Капитан вашей Гвардии решительно входит в кабинет.\n\n— Другой Тонарх готов платить мне больше, чем вы. Гораздо больше. Или вы удваиваете моё жалование, или я ухожу.",Удвоить жалование `;R-5;`,Напугать проклятьем `;K-5;`,"Вы удваиваете его жалование, и спрашиваете кто этот Тонарх и почему он решил именно таким образом усилить свою гвардию.\n\nКапитан Гвардии рассказывает о Тонархе, который многим делает такое предложение, чтобы ослабить конкурентов. Вы благодарите его за ценную информацию. Удовлетворённый результатом, капитан возвращается к работе. `;I+5;`","Вы напоминаете, что Анакрит благоволит только верным и достойным. И пусть капитаны Гвардии, в отличие от Генералов, не берут на себя священных обетов, ничто не мешает вам обратить благоволение Анакрита в священный гнев, а священный гнев в родовое проклятье, запирая капитана и его потомков в нескончаемом цикле страдания, умирания и перерождения.\n\n Пусть вы местами приукрасили эффекты подобного проклятья, ваша образованность помогла напугать капитана настолько, что он начал работать лучше, чем прежде. `;G+5;`"
"К вам обращается богатая княжна с конфиденциальной просьбой: её муж вступил в тайное общество, которое изучает и использует запретные силы Изгнанных Древних.\n\nОна проследила за своим мужем, и выяснила, что это общество собирается в резиденции влиятельного цензора.\n\nКняжна не хочет, чтобы её мужу был причинён какой-либо вред, физический или репутационный, и готова щедро заплатить за его возвращение к добродетельной жизни.\n\nКакой путь спасения вы предпримете?",Колдовство `;K-10;`,Шантаж `;I-10;`,"Тщательно всё подготовив, и подгадав время, вы проводите ритуал воззвания к Кайллору, Проявляющему Свет. \n\nПрямо во время собрания, вилле цензора начали появляться сверхъестественные трещины,  сквозь которые начал литься Свет, затопляющий виллу изнутри. Вскоре, муж княжны оказался поглощён Светом, пронзающим сознание истинами за гранью понимания.\n\nЕго разум стал навсегда повреждён, ибо перестал воспринимать Тьму. \n\nНо условия княжны были удовлетворены: ни физического, ни репутационного вреда её мужу это не нанесло,  и вернуло его к добродетельной жизни. После возвращения мужа, вам приходит оплата ваших трудов. `;R+20;`","Подготовив документ с компроматом, вы высылаете его мужу княжны с ультиматумом: либо он прекращает свои действия, либо этот документ окажется завтра на столе Великого Цензора.\n\nПусть ваш шантаж временно срабатывает, и князь перестаёт посещать эти встречи, у вас есть ощущение, что со временем он просто научится лучше это скрывать.\n\nСудя по менее щедрой оплате от княжны, она думает так же. `;R+10;`"
"После окончания слушаний на Совете Императора вы выходите на крыльцо вдохнуть свежего воздуха и подумать о предстоящих делах. В этот же момент за вами выходит Агент, прибывший с другой планеты. Начинается беседа.\n\nУвидев в вас хорошего собеседника и видя ваши разногласия с Наместником во время совета, Агент невзначай взболтнул о предстоящих замыслах со свержением нескольких Советников, включая Наместника, и предложил присоединиться к его миссии.",Сообщить Императору `;I-10;`,Помочь свергнуть Советников `;R-10;`,"Императора не оказалось на месте. Местная гвардия сказала, что он отбыл по срочным делам. Узнав об этом, вы взяли на себя смелость возглавить операцию по задержанию шпиона.\n\nВы быстро собрали отряд и направились к кораблю агента.\n\nНа месте оказалась только стража. Агент успел скрыться. Обыскав корабль, вы нашли записки с тайными замыслами против Советников Императора, включая вас. Император жалует вам небольшой дар за вашу верность.`;R+10;G+5;`","Во время визита на корабль Агента вы увидели записки со списком Советников, которых нужно было свергнуть. Вы были в их числе.\n\nВам удалось подменить список и подготовить компрометирующие сведения против остальных Советников. В скором времени они лишились своих титулов. `;I+15;K+5;`"
"К вам приходит Имперский Хранитель. Он хочет просмотреть вашу библиотеку и выкупить часть книг. Вы понимаете, что отказ Хранителю может быть расценён как попытка что-то утаить.",Согласиться `;K-15;`,Отказать `;I-5;`,"Вы отдаёте Хранителю часть ваших мистических книг. На следующий день, вам присылают небольшой сундук с экзальтканью: редким и дорогим материалом с магическими свойствами. `;R+15;`","""Ваша воля"", отвечает Хранитель.\n\nНе смотря на безэмоциональность его ответа, вы чувствуете в ответе лёгкую угрозу. `;N-0;`"
